タイムスタンプ,現在の区分を教えてください,小学校の授業（プログラミング教育など）でプログラミング言語を学んだことがあるか,中学校の授業（技術や情報の授業など）でプログラミング言語を学んだことがあるか,高校の授業（情報の授業など）でプログラミング言語を学んだことがあるか,通信高校の授業でプログラミング言語を学んだことはありますか,大学の授業でプログラミング言語を学んだことがあるか,プログラミング言語をはじめて習ったのはいつですか,プログラミング言語を習い初めたきっかけは何ですか？,学校の授業でプログラミング言語を学んだとき難しいと感じましたか,学校の授業でプログラミング言語を学んだ時に楽しいと感じましたか,プログラミング言語を学んだ時に苦手意識を感じたか,楽しくゲーム感覚でプログラミング言語が学べるアプリがあれば、取り組んでみたいと思いますか,学校の授業ではプログラミング言語をどんなふうに学びましたか,"学校の授業でプログラミング言語を学んだ時に困った事があれば教えてください。（授業で学ぶ時間が十分確保出来なかった等）
習ったことがない方は、「特になし」と回答お願いいたします。",高専の授業でプログラミング言語を学んだことがあるか,列 15
2025/02/16 10:30:24,小学生・中学生,いいえ,はい,,,,科学館のイベント,科学館のイベント,簡単,かなり楽しい,いいえ,とても取り組んでみたいと思う,インターネット上のサイト,特に困ってないです,,
2025/02/16 10:30:34,高校生,はい,はい,,いいえ,いいえ,授業で習う以前,習った、というより親族がやっていたため独学で遊んでいた。,少し簡単,少し楽しい,いいえ,少し取り組んでみたいと思う,"学校の教科書, インターネット上のサイト, プログラミング言語を学べるカードゲーム",特になし,,
2025/02/16 10:33:13,高校生,いいえ,はい,はい,,,中学校の授業,学校の授業,普通,普通,いいえ,少し取り組んでみたいと思う,学校の教科書,なし,,
2025/02/16 10:34:27,高校生,いいえ,はい,はい,いいえ,いいえ,中学校の授業,学校の授業,かなり難しい,全く楽しくなかった,はい,とても取り組んでみたいと思う,"学校の教科書, インターネット上のサイト, プログラミング言語を学べるアプリ, プログラミング言語を学べるカードゲーム",プログラミングにかける授業時間が少ない,いいえ,
2025/02/16 10:35:30,大学生,いいえ,いいえ,いいえ,,はい,大学の授業,学校の授業,かなり難しい,普通,はい,とても取り組んでみたいと思う,学校の教科書,特になし,,
2025/02/16 10:37:17,小学生・中学生,いいえ,はい,,,,中学校の授業,課外授業,少し難しい,少し楽しい,いいえ,少し取り組んでみたいと思う,インターネット上のサイト,特になし,,
2025/02/16 10:54:01,通信高校生,いいえ,いいえ,,はい,,通信高校の授業,学校の授業,普通,あまり楽しくない,はい,少し取り組んでみたいと思う,インターネット上のサイト,習ったけどよく分からなかった。興味をあまり持たなかった。,,
2025/02/16 11:09:14,高校生,いいえ,いいえ,はい,,,高校の授業,自分でホームページを作りたいと思ったから。,簡単,全く楽しくなかった,いいえ,少し取り組んでみたいと思う,学校の教科書,学校の授業では擬似言語を用いるため、論理的思考を鍛えることはできても成果物は完成せず、達成感を感じられない。,,
2025/02/16 11:55:50,高校生,いいえ,はい,はい,いいえ,,そもそも習ったことがない,そもそも習ったことがない,少し難しい,普通,はい,少し取り組んでみたいと思う,そもそも習ったことがない,特になし,,
2025/02/16 12:26:17,大学生,いいえ,いいえ,いいえ,いいえ,いいえ,そもそも習ったことがない,そもそも習ったことがない,そもそも学んだことがない,そもそも習ったことがない,そもそも習ったことがない,少し取り組んでみたいと思う,そもそも習ったことがない,特になし,いいえ,
2025/02/16 12:31:06,大学生,いいえ,いいえ,いいえ,,いいえ,そもそも習ったことがない,習ってはいないが、研究でAIを扱う際に必要があり学んだ,習った訳では無いが思ったより簡単だった,習ったわけではないが、楽しかった,いいえ,とても取り組んでみたいと思う,そもそも習ったことがない,特になし,,